,text
3432,"зависает сайт,заказывает два раза"
3433,"хорошее приложение, но когда в самый нужный момент нужен заказ, то везут его дольше всего "
3434,долгая доставка
3435,очень маленькие объмы
3436,привозят часто позже чем обещано
3437,
3438,вместо num минут даже за час не привозите
3439,"очень удобно и хорошо. но после моего инцендента с акциями,очень поменялось мнение"
3440,в целом все ок 
3441,"бывают проблемы с продуктами в холодильнике  сыры, мясо, зелень. неприятно, что приходится тратить время разбираясь и перезаказывая. было здорово раньше, когда все доставки были гарантировано в течении num минут"
3442,жду вас
3443,"хорошие ребята, но раз num попадалась просрочка или плесень на овощах"
3444,не хватает отслеживания курьера на карте
3445,"добавьте раздел ,редактировать заказ ,добавить заказ"
3446,"иногда доставка очень быстрая, а иногда пишут время доставки num минут, а привозят через num. а овощи и фрукты иногда привозят зелеными"
3447,"круто, классно, молодцы"
3448,"слишком долгие доставки, но продукты всегда на высоте"
3449,"курьерам платят мало, нагрузки большие. акций нет, скидок нет, цены высокие"
3450,кайфули так то
3451,"все отлично! но цены в два раза выше нежели чем в магазине продуктовом и сбермаркете, также ассортимент и акций!"
3452,"классно все, но хотелось бы карту с отслеживаем курьера онлайн"
3453,дорого
3454,"ужасный сервис, ужасное время доставки, курьеры, которые ни слова не понимают на русском"
3455,"сильно увеличилось время доставки. раньше можно было заказать к завтраку любимые самокатовские продукты, а теперь они приезжают после завтрака. это грустно"
3456,"очень удобно что цена за доставку небольшая  когда нет возможности выйти это прямо спасение. хотелось бы чтобы фиксированная сумма была ниже, например numр"
3457,часто курьеры задерживаются и бывает не качественный товар
3458,бывает крайне долгая доставка
3459,?
3460,"готовые блюда привозят за день до просрочки, не соблюдаются условия хранения продуктов, часто еда уже испорчена. курьеры через раз не аккуратно доводят еду, ведут себя некорректно с клиентами . в остальном все хорошо"
3461,дорого слишком загнули я считаю
3462,"в целом все нормально, но качество продуктов и их количество очень маленькое, максимум, что я заказываю это мелочи и вкусняшки"
3463,классные товары производства самокат
3464,многие позиции часто отсутствуют и маленький выбор некоторых продуктов
3465,долго возят
3466,"снять бы с тебя трусики, схватить тебя за попу и раздвинуть е, чтобы анус и влагалище приоткрылись немножко и получились две открытые дырочки, примкнуть ротиком к ним и кончиком шершавого язычка прямо внутри киски и попки покругу"
3467,"на некоторые позиции бывает слишком завышенная цена. можно в обычном магазине купить дешевле. но, хочу отметить отличную работу курьеров "
3468,"ужасно,уезжают с заказом раньше времени"
3469,"прекрасный сервис по скорости, но количество ассортимента удручает"
3470,очень долгая доставка в центре города
3471,"всегда очень долго собирают заказ и так же долго его доставляют, хотя цфз находится прямо в моем доме."
3472,писала уже в поддержку в ответ тишинаааа
3473,"долгая доставка, поддержки как таковой нет, ответа приходится ждать долго и вопрос решить не могут, только отписки однотипные"
3474,"курьер плохо говорит по русски, заставлял забрать заказ с первого этажа"
3475,"доставка занимает больше, чем num минут"
3476,привозят продукты позже чем показано в приложение
3477,"ужасно, маринованные томаты это ужас!!!"
3478,посредственность
3479,просрочка
3480,
3481,
3482,"ну бля, майонез приехал бракованный, сеннабон блять дорогой, выбрать нечего, булочки постоянно заканчиваются. хотел купить сосиску в тесте, а их нет ебать, мне пришлось свою пытаться съесть, так ничего и не вышло"
3483,"еда всегда с истекаюшим сроком годности, я об этом писала неоднократно в службу поддержки, делала пометку в свом личном кабинете, бесполезно. доставка никогда не бывает за обещанных num минут, хотя пункт находится в num метрах от моего подъезда. и много ещ"
3484,"очень долгая доставка , заказываю уже не первый раз , и всегда приходится ждать дольше обычного"
3485,долгая доставка! ужас
3486,"дорого, качество продуктов стало хуже, ассортимент товара можно увеличить, заказ чаще приезжает позже указанного времени."
3487,"спасибо, доставляете долго но вкусно спасибо самокат и цены понизте"
3488,скидки у вас не плохие. но обращайте внимание на качество продуктов. иногда в этом у вас есть проколы
3489,"думаю о вас хорошо. нет возможности добавить продукт, пока заказ собирают. иногда нереально долгая доставка."
3490,"всегда долгая доставка, цены дороже, чем в яндекс лавке"
3491,сделайте для постоянных клиентов бонусы
3492,"когда доставляете все срок и так как было в корзине, то numnum. но когда задержки свыше установленного времени и достигают около часа сами должны понимать в каком состоянии находится клиент и его реакция когда есть ожиданиереальность"
3493,промокоды на скидку не работают!!!
3494,"часто продукты со сроком годности на грани, засохший хлеб или черствый круассан."
3495,"очень стала долгая доставка, постоянные задержки, не рассчитать время."
3496,опоздания
3497,"надеюсь, что вас скоро закроют"
3498,было бы славно иметь функцию оставить заказ у двери
3499,быстрая доставка еды! хотелось бы более расширенный ассортимент готовых блюд
3500,не серьезная организация
3501,"последнее время частые косяки с качеством продуктов. часто с исходящим сроком годности, или если овощи, то с поеченью"
3502,"пожалуйста, привозите напитки охлажденными!"
3503,"неоднократно ловлю негативные эмоции от самоката, почитайте историю сообщений в телеграмме "
3504,сервис доставки ухудшился за последние полгода.
3505,"непонятно почему на один адрес можно доставить горячее, а на другой, находящийся поблизости уже нельзя. маленький выбор блюд, которые можно доставить горячими, например, из вторых блюд неизменно только одно блюдо с картофелем на гарнир."
3506,очень слабый ассортимент. хочется больше зарубежных товаров.
3507,очень часто стали задерживать заказы. много испорчены продуктов.
3508,расширение ассортимента будет совсем кстати
3509,"задержка заказов так то не чего страшного если бы звонили и говорили на сколько задержаться , а не была бы надпись вот вот курьер будет у вас а его нет и нет и не знаю через сколько он будет "
3510,"цены в приложении и корзине отличаются, доставку порой приходится ждать по num минут, вместо заявленых num"
3511,мало платят курьерам
3512,у вас очень снизилась скорость доставки  часто проблемы с авокадо  они у вас или деревянные или гнилые
3513,"дороговато у вас бывает, ребята."
3514,"овощи и фрукты не очень качественные, нет скидок постоянным клиентам"
3515,горите в аду
3516,плохая доставка
3517,очень медленно пополняется ассортимент. детских творожков уже неделю нет
3518,"думаю, что вы молодцы!"
3519,"хороший сервис,но с доставкой беда"
3520,вы хороший магазин но у вас доставка очень медленая!!!!!
3521,"высокие цены, хлеб кладут почти всегда вчерашний.с молочкой тоже самое сроки несвежие."
3522,"улучшить качество товара, бывает много тухляка. увеличить количество курьеров. чтобы когда была загруженность было быстрее все. цены снизить, сделать как в магазине, а не выше."
3523,"мерзкие, жадные, дорогие"
3524,"очень хочется, чтоб курьеры не врали, а доставляли заказ!!"
3525,"доставка быстрая, но качество продуктов иногда оставляет желать лучшего. цена завышена!"
3526,"задерживаете заказ! иногда приносят такие продукты, которые не пригодны для употребления"
3527,"цены высокие, но в целом збс"
3528,доставка стала долгой. num минут  миф
3529,самокат хороший и лучше всех сервисов нравиться очень прикольное приложение ставлю num звзд
3530,"стала безумно долгая доставка, исправьте это наконец"
3531,"слишком большие ценны, но в целомне плохо."
3532,ценили сервис за быструю доставку. сейчас этот момент раздражает  доставка доходит до часа.
3533,"мало выбора и относительно дорого той же num и магнита , хотя у вас нет оффлайн магазина а все равно дороже , очень как то странно это все"
3534,"ужасно стало, заказы доставляют num минут  час, вместо обещанных num, надоедает уже ждать, еще и поддержка может больше двух трех часов не отвечать"
3535,слишком дорого особенно фрукты
3536,"просто отвратительно!!!написано num минут,заказ везут уже num минут и его еще нет!!!лавка привозит за num минут,просто заводят в заблуждение,просто отвратительная доставка!!!!"
3537,быстрее доставлять. тк скорость доставки стала медленнее
3538,"слишком часто курьеры задерживаются или опаздывают, тогда указывайте иное время. очень радует служба поддержки и система лояльности, можно быть уверенными в качестве товара, или вернут баллами, именно это мотивирует заказывать!"
3539,"мне нравится сервис, но на данный момент хватает качество продуктов часто привозят испорченные товары"
3540,"доставка непредсказуемая. num минут увы не соблюдаются, а когда привезут, никогда не узнаешь, так как отслеживания нет."
3541,"доставляют только хачи, чурки, узбеки ускоглазие, хамят, опаздывают"
3542,привет
3543,"ваша поддержка  это ужас. мне везли заказ num часов num минут, окей, у вас системный сбой  я могу это понять, но когда мне поддержка отвечает по num минут, и num раза пишет ваш заказ приедет в течение num минут, чего не происходит, то это полный пиздец."
3544,очень долго ждать доставку
3545,я вообще нейтрально к вам отношусь.но единственное что у вас цены очень высокие
3546,"вчера сделала заказ большой , привезли только num позиции, такое ощущение, что просто не хотели вс тащить, ну или сборщики так работают! по русски курьеры говорят очень плохо, крайне сложно объясняться ! возврат денег жду до сих пор!"
3547,"очень часто привозят заказ не за num минут, а за numnum! и не у меня одной эта проблема. а еще нету роллов с"
3548,не беру больше проверено спелое num раз из num привозят неспелое
3549,долгая доставка!!
3550,вы самая лучшая и быстрая доставка!
3551,"в целом все не плохо , акций весьма мало на интересные позиции и очень странная тех поддержка. обращался один раз , ничем не помогли , даже купон не выдали ."
3552,"очень долго везут заказ, хотя нет никакой задержки, повышенного спроса, везут num минут, должны за num минут, это катастрофа"
3553,"в целом все нравится, но доставка конечно стала долгой, раньше заказ привозили за numnum минут, и в разделе скидки товары вообще не меняются"
3554,"очень медленная доставка, безумно медленная поддержка, крайне маленький выбор"
3555,долгая доставка
3556,очень долго доставляете
3557,"в num из num заказов чтото не довозят  как правило, быстрый перекус или сладкое. накормите своих курьеров"
3558,долго доставляют
3559,"местами слишком завышен ценник, если сравнивать вас с яндекс.лавкой, я куплю по возможности там, ассортимент больше, ценник ниже, в приложении можно пофармить баллы плюса пока ждшь заказ, так ещ и курьеры сильнее мотивированны доставить быстрее"
3560,почти всегда быстро
3561,"доставка стала очень долгой. раньше занимала numnum мин, теперь заказ могут везти от получаса до часа. цены на продукты выше среднего."
3562,ужас
3563,"к сожалению, не так часто пользуюсь данным приложением! решила заказать чтоб быстро привезли, но увы ждали почти num минут, когда товар уже в принципе не нужен был! если погодные условия не дает возможности уложится в num мин, тогда меняйте время доставки!"
3564,очень плохо!!!! убрали из заказа за num мин до приезда курьера продукт из за которого был сделан заказ. почему нельзя сразу сообщить об этом!!!! я бы вообще не заказывала!!!! я в бешенстве!!!!!
3565,"списались баллы, а заказ не подтвержден"
3566,курьеры постоянно задерживаются
3567,наценка за отсутствие курьеров удручает. цены выше чем в обычных магазинах
3568,давоьь
3569,"в целом сервис не плохой, но зачастую заказ приходиться ждать ну очень долго, хоть фиксированное время num минут, оно легко может увеличиться в два три раза."
3570,"очень долгая доставка!!!! в приложении написано всегда num минут, по факту num!!!! не видно курьера на карте и не понятно ждать ещ минуту или час!!! уважайте наше время!!!"
3571,"вы заявляете что доставка num минут, поэтому выбор делаю в пользу вашего магазина а не конкурентов, но я так и не получала свой заказ вовремя ни разу. каждый раз вы срываете время доставки и приносите кучу стресса. когда вы уже перестанете врать?????"
3572,круто
3573,не понятно почему цены у вас в разы дороже чем в любом магазине
3574,"привозить молочку в последний день е годности  максимальная ненависть к своим покупателям. ходовые товары раскупают и долго не пополняются, это проблема. скорость доставки доходит до часа, о чем не предупреждают. предупредите  я отменю заказ,это честно"
3575,маленький ассортимент товаров. на некоторые товары цены завышены. доставка всегда быстрая.
3576,чаще всего продукты не свежие
3577,хотелось бы получать промокод не только на первые num покупки.либо сделать бонусную систему.
3578,добавте оплату наликом
3579,"у вас не хватает промокодов для постоянных клиентов, только для новых. не очень красиво. стоит поучиться у сбермаркета в этом плане"
3580,"классная доставка, но цены просто конские те же скидки, когда выгода num здесь просто не помогут"
3581,"за num минут до дома постепенно начали превращаться в ну numnum минуток.... вероятно увеличилось число заказов, но количество курьеров не поспевает за изменениями, who knows"
3582,надеюсь станет чуть выгоднее и удобней
3583,"плохо работает поддержка. уже пару раз было так, что заказ опаздывал на час, а служба не отвечала. а потом приходило уведомление про волевое решение  не отвечать людям"
3584,"очень долгая доставка, иногда занимает от полутора до двух часов"
3585,"заказы приезжают всегда дольше заявленного времени. может стоит сразу указывать более длительный временной интервал доставки, чтобы клиенты могли планировать время ожидания продуктов"
3586,"отличная компания, достовляете вовремя"
3587,очень долгая доставка
3588,"не большой выбор блюд быстрого приготовления. маленький ассортимент рыбы и морепродуктов. нет мороженого num,numкг и numкг"
3589,очень удобно!
3590,"часто стали привозить продукты сомнительного качества, доставка к сожалению стала очень долгая"
3591,ничего
3592,раньше было лучше
3593,раньше было лучше
3594,"очень хорошее приложение но некоторые цены завышены,такие каккофейный напиток,яблочный сидор,чипсы"
3595,"вс хорошо, но ассортимент готовой еды маловат, и большая часть не вкусная"
3596,"в том году минимальная цена заказа была дешевле, а сейчас вообще кошмар какой то"
3597,я о вас не думаю 
3598,время доставки не соответствует действительности
3599,
3600,дорого и долго
3601,"в часы высокого спроса, минимальный ценник растет быстрее, чем успеваешь чтото выбрать!"
3602,"в самокате гораздо дороже, чем в обычном ритейле. ассортимент беднее. попадались фрукты и овощи плохого качества, пропавшее мясо. стала гораздо реже пользоваться, чем раньше, теперь только по необходимости."
3603,"написано курьер будет через num мин. т.к домофон не работает, вышел на улицу, прождал ещ num мин."
3604,"я думаю все круто ,цены надо чуть снизить тогда вообще будет круче всех "
3605,отвратительный сервис
3606,ничего хорошего
3607,не очень
3608,часто привозят кислые кисломолочные продукты
3609,убираете продукты из корзины не предупредив
3610,один раз я заказал заказ и там был батончик милки вей с клубникой я закал его но пришел обычный милки вей так что я не доволен и еще ассортимент советую увеличивать а так норм
3611,"я думаю, что вы теряете нить своей концепции, последние num заказа привезли с опозданием. также наблюдается глобальный рост цен. некоторые позиции в два раза дороже, чем в магазине. если есть просадка в доставке, сделайте тогда позиции дешевле чем в магазин"
3612,"всегда заказ доставляется позднее указанного срока, более того, по мере приближения курьера программа уведомляет об оставшемся времени, но как только время заканчивается, появляется сообщение, что курьер будет у вас вотвот и ждешь num,num минут "
3613,"доставка num минут, но через num минут никогда не приезжают"
3614,"время доставки не соответствует заявленным цифрам. часто какието задержки, вотвот будет у вас и т.п."
3615,"цены высокие, доставка больше num минут"
3616,"доставляют всегда очень долго. вот сегодня вместо num минут доставка затянулась почти час. поддержка обещала, что курьер придт через num мин после звонка. в итоге прошло опять num минут. после этого заказа к черту удаляю сообщение и буду пользоваться яндекс"
3617,что вы капец как испортились... мне заказ не доставили... прождала два в пустую...
3618,"цены на ряд продуктов завышены, небольшой ассортимент, продукция молочная самоката очень невкусная, поэтому и другие продукты от самоката не хочется братькроме кофе, кофе классный"
3619,недавно мне привезли чипсы которые погрызли мыши.
3620,"вс чудесно,ценообразование минимальной суммы заказа мне не понятно"
3621,"хороший магазин, но дороговат"
3622,"доставка опаздывает,указывайте реальное время"
3623,"в последнее время проблемы с доставкой, ждала num минуты, сейчас опять уже более numти минут жду,качество продуктов нравится, ассортимент широкий. но если всегда будут такие проблемы с доставкой, что мне приходится писать в поддержку, я откажусь от вас"
3624,ни разу во время не привезли продукты
3625,"доставка очень быстрая, но некоторые цены кусаются"
3626,"часто приходят негодные продукты.заказала например сыр, он мне срочно нужен был для готовки, пришл заплесневелый, позвонила в поддержку, сказали заменят в течении получаса, в итоге прошло num часа и если бы я снова не позвонила  сыр бы не принесли."
3627,"доставка испортилась,то привозят не то что нужно,то продукты не очень"
3628,"очень долгая доставка, ассортимент маленький"
3629,к сожалению поддержка плохо работает я часто сталкиваюсь с тем что товар почечный приносят
3630,"не соответствуете своим же маркетинговым компаниям. доставку обещаете за num минут, а доставляете за num"
3631,"указана дос авка за num минут, но часто привозят через полчаса. пару раз привозили испорченную продукцию, но возвращали деньги за нее после обращения  за это спасибо."
3632,"молодцы, но можно и лучше"
3633,"цены высокие, особенно на фрукты и овощи, а качество фуфло. доставка часто опаздывает, несколько раз страдали от голода изза этого. если есть возможность заказываю на других площадках"
3634,"само приложение очень хорошее, но сотрудники просто ужас. раньше я и сам работ в самокате и у меня был таваровед который забирал списаный товар и не давал его сотрудникам. ужасные велосипеды, за ними никто не следит и чинят только если он уже совсем слом"
3635,вс очень прекрасно и удобно!
3636,научитесь доставлять вовремя заказы
3637,.
3638,у половины курьеров нет документов
3639,"никогда нет ассортимента, привозите не то что заказано, как в последеем заказе, привезли не тошо производителя сахар!"
3640,вы стали часто опаздывать
3641,не все товары самокат стоят своих завышенных цен
3642,"очень долгая доставка,в остальном продукты свежие."
3643,почему после заказа скидка нету
3644,"долго доставляете заказ. хотелось бы, чтобы заказ оставляли у двери."
3645,в готовой еде очень маленький выбор товаров и большинство из не вкусные от слова совсем. система последнее время выдает срок доставки товара который не соответствует действительности. очень часто появляется повышения минимал цена на доставку
3646,"часто привозят рваное и открытое, мятое, и постоянно опаздывают, так же, постоянная накрутка цены заказа, когда последние деньги, их есть на что потратить, и не довольные рожи курьеров достали"
3647,"мало курьеров, курьер везт сразу несколько заказов соответственно опаздывает."
3648,если лень то сойдт
3649,"долгая доставка, маленький выбор"
3650,все класс
3651,было просроченное молоко
3652,очень долгая доставка. крайне незрелые фрукты.
3653,цены намного дороже чем в самом магазине!!!
3654,вс отлично за исключением ассортимента товаров. и последнее обновление просто ужас. лаг на лаге лагом крыт.
3655,"вы заявляете одно время на доставку, по факту в num случаев вы задерживаетесь. при этом тех поддержка отвечает одно и тоже извините, не хватает курьеров. дак если у вас не хватает курьеров, зачем писать минимальное время доставки? пишите реальные периоды"
3656,качество продукции самокат оставляет желать лучшего. это касается готовых продуктов
3657,"в начале все было в порядке, задержки в numnum не критично. но в последнее время задержки в доставке уже достигали часа и даже более заказывал через аккаунт супруги а это уже совсем не приемлемо."
3658,
3659,см предыдущий ответ
3660,"поодукты приходят гнилые , битые, курьеры всегда опаздывают"
3661,"долгая доставка, вместо обещанных numnum минут, ждала час с лишним"
3662,"мне не нравится, что исчез феликс и цены на кошачий корм гораздо выше нежели,например,озон.я считаю,что аудитория самокат достаточно обеспечена и мы хотим заказывать для своих питомцев премии качество корма.так почему бы их не включить в доставку"
3663,"раньше доставка была num мин , сейчас может и num минут и час идти"
3664,хранить товар правильно надо
3665,"было бы прекрасно, если бы вы доставляли продукты ещ ко времени определнному"
3666,"доставка все время опаздывает, качество товара, тоже не всегда лучшее."
3667,"долго доставляют в часпик, яндекс с этим лучше справляется"
3668,ребята молодцы
3669,"здорово, что быстро привозите, но часто попадаются испорченные товары и ужасно раздражает, когда чтото раскупили, можно же держать на складе побольше товара, чтобы всем хватило. иногда нет какихто базовых вещей, вроде заводского хлеба."
3670,оооооочень долго!!!
3671,ваши аналоги справляются лучше
3672,num минут это num?
3673,ничего
3674,долгооооо
3675,"практически всегда с опозданиями, обещание доставка за num минут не соответствует действительности. служба поддержки выясняет сроки доставки еще дольше, чем медлительные курьеры шагают по клиентам"
3676,долгая доставка
3677,долго курьеры доставляют
3678,неплохо
3679,"последний заказ везли почти num минут! я бы быстрее сходила в магазин, смысл от вашего сервиса? раньше быстро привозили, сейчас по numnum минут приходится ждать"
3680,"в целом все нравится, но цены на позиции на порядок выше магазинных. понимаю, что в ценообразование вкладывается оплата труда персонала, приложения и т.д., но раньше цены были ниже, если это возможно както подправить, то ок, если нет  то нет"
3681,"курьер задерживается, почемуто"
3682,очень скудный ассортимент 
3683,очень долго.
3684,"в целом все хорошо, но очень долгая доставка, собирают пару вещей num минут"
3685,часто минимальная сумма заказа превышает сумму на которую я хотела сделать заказ
3686,"курьер пару раз нажал на домофон, открыть не успела, он отменил заказ"
3687,"думаю, что редко когда получаю продукты за numnum минут, обычно не менее num минут, у пятрочки уже появилась доставка за num минут и они делают это за num.."
3688,"доставили заказ не полностью! деньги списаны, а заказ доставили частично."
3689,"зачем вы пишите, что доставка num мин, а доставляет от num мин? и научите операторов общаться с людьми"
3690,"цены кратно повысились стали существенно выше, чем в магазинах возле дома, доставка вместо num минут стала num час теперь быстрее сходить самим. стали делать заказы реже и выбирать только продукты, которых нет у других. жаль, раньше было очень удобно."
3691,за час любой перекресток заказ привезет!
3692,в последнее время очень долго доставляются заказы
3693,"хочется улучшить качество товаров. бывает доставляют просрочку, либо товары с плесенью"
3694,"неверная информация о времени доставки  постоянно. как при заказе, так и в процессе доставки."
3695,"цены растут как на дрожжах, а качество доставки падает. уже нет обещанных num минут, теперь раньше, чем через num минут никто ничего не доставит"
3696,"ужасно, постоянные задержки заказа. указано, ожидание заказа не более num минут, а доставляете за час."
3697,"маленький ассортимент, отсутствие мотивации делать частые покупки, нет промокодов. странно продавать холодных стрид фуд"
3698,"у вас великолепные круассаны, но их приходится выслеживать"
3699,"цены гораздо выше ,чем в магазинах .иногда слишком высокая сумма заказа"
3700,"я все понимаю, но, ребята, num,num ждать заказ, в котором отсутствуют num основные для меня позициикоторыми мы хотели поужинать теперь вынуждена ждать возврата денег в течении num дней, очень расстроена, больше никогда заказывать не буду"
3701,долгие пидоры не знаю как это
3702,"долго, не дорого, не особо вкусная готовая еда, поддержка через телеграмм тупит"
3703,курьер не звонит в дверь
3704,"ленивые твари курьеры, хамская поддержка, не решают вопросы, отвечают скриптами"
3705,раздражает что спрашивают что у вас в заказе или номер заказа
3706,"очень долго привозят заказы, в будние дни доставка от num рублей , курьеры все невежливые , еда иногда тухлая"
3707,последнее время часто опаздываете хотелось бы больше полезной еды. и ветчину из куриной индейки вакуум нарезка.
3708,иногда доставщики вообще не говорят порусски. это отвратительно.
3709,"цены часто завышены. я лучше заплачу за доставку numnumр, но получу более приятные цены на продукты. малый ассортимент в заказы за num минут после появления numх часовой доставки. например в num часа мне уже никто не привезт numх часовую доставку. неудобно."
3710,очень долгая доставка
3711,написано num мин. при этом num мин только собирают
3712,"вашу контору постараюсь обходить стороной ! обеденный перерыв уже закончен, а курьера ещ даже не нашли !"
3713,постоянно задерживается доставка.
3714,доставка гавно
3715,ов
3716,"все хорошо ,но можно сделать для доставщиков электросамокаты"
3717,"удобное приложение, быстрая доставка. около num раз привозили гнилые продукты. неудобно, что иногда не пишете честно, когда будет курьер, а написано вотвот будет, а после этого проходит ещ полчаса. проще было бы сразу знать, что ждать ещ полчаса."
